Matricula,U1,U2,U3,U4
2147208,71,93,70,81
2191264,93,60,84,96
2173545,61,88,72,85
1887027,82,93,85,63
1801157,70,98,85,84
1981468,94,88,96,72
2060977,72,74,64,81
2017298,61,100,67,85
1831290,64,62,75,66
2116560,95,90,69,67
1877281,75,69,75,71
2168623,99,73,79,61
1986871,76,77,67,100
2119915,100,64,81,88
1801929,64,69,80,86
2149242,83,89,70,68
1920978,78,62,70,65
1847145,84,63,91,75
2199018,90,85,74,85
1961324,68,99,88,66
2026046,75,62,86,64
2159285,97,78,60,75
1841004,90,71,66,90
2166853,67,84,100,68
1979852,79,84,94,86
1923508,92,82,93,68
2192945,95,88,81,87
1981649,87,64,81,71
1924278,91,84,72,80
1903841,92,76,60,68
2059866,91,85,76,72
