Matricula,U1,U2,U3,U4
2318559,94,80,61,88
2274659,80,73,73,68
2172865,66,97,100,60
2323003,88,81,93,61
2224995,78,76,72,97
2317273,89,63,71,88
2327757,82,95,62,83
2179419,99,89,61,84
2282575,91,93,88,69
2292789,67,96,87,85
2208179,64,90,86,73
2371211,97,96,71,96
2135641,86,97,72,79
2263054,77,66,60,85
2283929,63,77,94,99
2277474,77,97,67,71
2343488,83,89,90,100
2101802,88,73,96,69
2276676,91,98,64,73
2190838,91,88,71,77
2224776,68,84,91,74
2396091,92,68,64,94
2390559,96,63,66,70
2165104,87,94,75,63
2144736,91,89,88,64
2208452,65,95,91,69
2222670,86,74,73,91
