Matricula,U1,U2,U3,U4,U5
1768916,94,87,95,67,72
1710994,65,68,92,96,86
1917038,62,89,65,68,66
1902751,94,78,91,83,87
1725757,76,66,93,69,62
1898927,90,94,80,87,100
1826566,62,62,94,72,76
1834998,96,79,79,71,93
1746368,73,96,97,63,60
1996220,72,96,66,83,77
2065551,96,84,92,94,92
1729878,68,85,85,94,67
1914814,61,66,68,83,65
2027386,60,67,76,99,96
1798138,92,72,83,87,89
1912617,93,87,68,63,68
1906932,97,63,98,67,73
1877868,89,98,98,80,65
1795826,78,79,61,64,96
1792845,72,89,61,78,84
1900103,97,87,61,94,97
1910070,93,76,72,81,90
1703145,68,84,61,85,65
1834977,89,66,70,74,72
