Matricula,U1,U2,U3,U4
1768916,79,74,69,75
1710994,77,92,76,73
1917038,83,85,68,82
1902751,74,67,97,93
1725757,98,87,100,87
1898927,65,69,99,90
1826566,72,60,75,96
1834998,80,60,96,97
1746368,65,71,81,83
1996220,94,63,95,92
2065551,67,64,97,71
1729878,93,81,76,78
1914814,64,82,77,85
1901784,94,76,98,100
2027386,71,63,75,64
1798138,97,75,75,95
1912617,92,95,85,99
1906932,60,88,64,90
1877868,84,96,95,78
1795826,76,94,72,61
1792845,80,69,76,74
1900103,70,94,70,65
1910070,100,67,70,89
1703145,96,77,66,91
1834977,74,78,71,68
